,immune_id,tumor_id,score
0,11,22,0.09523809523809523
1,12,31,0.09523809523809523
2,13,43,0.23809523809523792
3,14,12,0.1428571428571428
4,15,7,0.19047619047619035
5,17,20,0.5952380952380951
6,19,33,0.40476190476190466
7,21,11,0.3571428571428571
8,23,32,0.38095238095238093
9,24,45,0.16666666666666652
10,25,23,0.619047619047619
11,26,39,0.9523809523809523
12,27,70,0.5476190476190477
13,28,24,0.4285714285714285
14,29,14,0.40476190476190466
15,30,28,0.33333333333333315
16,32,46,0.4285714285714285
17,33,19,0.38095238095238093
18,34,67,0.4285714285714285
19,35,64,0.38095238095238093
20,36,44,0.5952380952380951
21,37,59,0.738095238095238
22,38,47,0.3571428571428571
23,41,51,0.2142857142857142
24,42,62,0.26190476190476186
25,43,75,0.45238095238095233
26,44,65,0.19047619047619035
27,45,37,0.7142857142857142
28,47,68,0.40476190476190466
29,49,76,0.3095238095238094
30,50,88,0.47619047619047605
31,52,111,0.3571428571428571
32,53,53,0.619047619047619
33,54,121,0.3095238095238094
34,55,78,1.119047619047619
35,56,82,0.38095238095238093
36,57,126,1.119047619047619
37,58,96,0.2857142857142856
38,59,99,0.9047619047619048
39,62,41,0.47619047619047605
40,63,77,1.0714285714285714
41,64,164,0.47619047619047605
42,66,140,1.1666666666666667
43,69,90,0.0
44,70,123,0.33333333333333315
45,71,103,0.5238095238095237
46,73,135,1.0238095238095237
47,74,94,0.5238095238095237
48,76,102,0.5714285714285714
49,77,136,0.07142857142857129
50,78,109,0.5714285714285714
51,80,105,0.07142857142857129
52,82,108,0.4285714285714285
53,86,151,0.3095238095238094
54,87,101,0.19047619047619035
55,88,120,0.4285714285714285
56,90,104,0.45238095238095233
57,91,74,0.40476190476190466
58,92,160,0.738095238095238
59,96,125,0.3571428571428571
60,98,185,0.2857142857142856
61,99,188,0.2857142857142856
62,100,73,0.38095238095238093
63,102,85,0.11904761904761896
64,103,89,0.619047619047619
65,104,117,0.11904761904761896
66,105,190,0.16666666666666652
67,108,134,0.2142857142857142
68,109,180,0.04761904761904756
69,111,147,0.19047619047619035
70,112,116,0.2142857142857142
71,113,79,0.4285714285714285
72,114,141,0.5476190476190477
73,119,193,0.38095238095238093
74,121,137,0.47619047619047605
75,123,91,0.11904761904761896
76,125,157,0.33333333333333315
77,127,222,0.26190476190476186
78,128,158,0.2857142857142856
79,129,152,0.5238095238095237
80,130,166,0.09523809523809523
81,131,155,0.07142857142857129
82,133,230,0.4999999999999999
83,134,232,0.3571428571428571
84,135,144,0.33333333333333315
85,136,201,0.8571428571428571
86,137,213,0.04761904761904756
87,139,145,0.07142857142857129
88,143,205,0.5714285714285714
89,144,212,0.619047619047619
90,146,186,0.4285714285714285
91,147,209,0.5714285714285714
92,148,175,0.4285714285714285
93,149,169,0.6428571428571428
94,154,254,0.619047619047619
95,156,181,0.23809523809523792
96,158,150,0.5714285714285714
97,159,178,0.33333333333333315
98,160,156,0.40476190476190466
99,161,163,0.33333333333333315
100,165,110,0.738095238095238
101,166,272,0.26190476190476186
102,168,192,0.6666666666666665
103,170,218,0.33333333333333315
104,171,206,0.26190476190476186
105,172,245,1.0
106,173,240,0.38095238095238093
107,174,173,0.45238095238095233
108,176,195,0.47619047619047605
109,178,216,0.1428571428571428
110,182,255,0.2142857142857142
111,184,279,0.19047619047619035
112,186,318,0.26190476190476186
113,187,202,0.5952380952380951
114,190,280,0.5714285714285714
115,191,208,0.23809523809523792
116,192,329,0.38095238095238093
117,195,283,0.4285714285714285
118,197,228,0.33333333333333315
119,198,217,0.1428571428571428
120,200,251,0.8333333333333333
121,201,261,0.40476190476190466
122,202,177,0.5238095238095237
123,203,225,0.4999999999999999
124,204,257,0.2142857142857142
125,205,248,0.09523809523809523
126,207,187,0.5714285714285714
127,208,198,0.8095238095238095
128,209,221,0.4285714285714285
129,210,324,0.16666666666666652
130,211,319,0.5476190476190477
131,212,220,0.7619047619047619
132,214,348,0.26190476190476186
133,216,197,0.3571428571428571
134,217,305,0.5476190476190477
135,218,219,0.38095238095238093
136,219,249,0.04761904761904756
137,221,234,0.9285714285714286
138,222,223,1.0476190476190477
139,223,322,0.5714285714285714
140,225,290,0.3095238095238094
141,227,291,0.33333333333333315
142,230,325,0.8333333333333333
143,231,308,0.45238095238095233
144,232,252,0.4285714285714285
145,233,233,0.26190476190476186
146,234,242,0.4285714285714285
147,235,347,0.738095238095238
148,236,289,0.2142857142857142
149,237,203,0.38095238095238093
150,239,241,0.1428571428571428
151,241,260,0.26190476190476186
152,242,231,0.3095238095238094
153,243,214,0.9285714285714286
154,244,336,0.23809523809523792
155,249,281,0.5476190476190477
156,250,282,0.40476190476190466
157,251,286,0.7142857142857142
158,252,338,0.47619047619047605
159,254,356,0.2857142857142856
160,260,395,0.07142857142857129
161,261,337,0.23809523809523792
162,264,275,0.7142857142857142
163,265,301,0.4285714285714285
164,268,375,0.6428571428571428
165,271,273,0.3095238095238094
166,272,210,0.16666666666666652
167,276,321,0.47619047619047605
168,281,306,0.2142857142857142
169,283,297,0.16666666666666652
170,284,304,0.11904761904761896
171,285,309,0.6904761904761905
172,286,333,0.4999999999999999
173,292,267,0.2142857142857142
174,293,239,0.45238095238095233
175,294,355,0.19047619047619035
176,295,296,0.26190476190476186
177,296,271,0.11904761904761896
178,297,386,0.619047619047619
179,298,387,0.3095238095238094
180,299,302,0.4999999999999999
181,300,310,0.23809523809523792
182,301,266,0.19047619047619035
183,302,256,1.0
184,303,357,0.47619047619047605
185,304,410,0.5952380952380951
186,311,227,0.5952380952380951
187,312,362,0.33333333333333315
188,313,269,0.2142857142857142
189,315,367,0.47619047619047605
190,317,353,0.47619047619047605
191,321,450,0.6666666666666665
192,323,236,0.09523809523809523
193,324,268,0.7857142857142857
194,325,380,0.26190476190476186
195,326,377,0.6904761904761905
196,328,285,0.6904761904761905
197,329,328,0.5476190476190477
198,332,352,0.2142857142857142
199,333,334,0.23809523809523792
200,334,419,0.16666666666666652
201,336,350,0.09523809523809523
202,337,382,0.33333333333333315
203,339,390,0.7619047619047619
204,340,407,0.47619047619047605
205,341,368,0.45238095238095233
206,343,376,0.619047619047619
207,344,400,0.3095238095238094
208,346,379,0.9523809523809523
209,347,358,0.16666666666666652
210,348,396,0.40476190476190466
211,349,340,0.9047619047619048
212,350,378,0.38095238095238093
213,355,406,0.19047619047619035
214,356,364,0.11904761904761896
215,357,372,0.23809523809523792
216,358,374,0.9285714285714286
217,359,431,0.33333333333333315
218,363,496,0.3571428571428571
219,364,426,0.7142857142857142
220,366,423,0.619047619047619
221,367,417,0.26190476190476186
222,369,361,0.19047619047619035
223,371,14244,0.26190476190476186
224,374,401,0.619047619047619
225,375,511,0.19047619047619035
226,378,371,0.7619047619047619
227,380,315,0.33333333333333315
228,382,413,0.16666666666666652
229,383,391,0.3095238095238094
230,385,475,0.6666666666666665
231,387,442,0.6428571428571428
232,388,373,0.4285714285714285
233,389,460,0.23809523809523792
234,391,504,0.4285714285714285
235,393,359,0.19047619047619035
236,394,383,0.33333333333333315
237,397,414,0.5238095238095237
238,398,438,1.0714285714285714
239,399,476,0.19047619047619035
240,401,360,0.26190476190476186
241,402,429,0.9285714285714286
