cluster,cell_type,cell_type_refined
21,Stroma,aSMA+ Stroma
1,Myeloid,Macrophages
19,Lymphoid,CD8+ T-cells
2,Myeloid,CD163+ Macrophages
17,Myeloid,Macrophages
29,Myeloid,Macrophages
27,Myeloid,Macrophages
32,Myeloid,CD163+ Macrophages
26,Lymphoid,Regulatory T-cells
24,Lymphoid,CD4+ T-cells
22,Lymphoid,B-cells
6,Epithelial,Epithelial
0,Epithelial,Epithelial
20,Epithelial,Epithelial
11,Epithelial,Epithelial
3,Epithelial,Epithelial
12,Epithelial,Proliferative Epithelial
9,Epithelial,Epithelial
10,Epithelial,Epithelial
18,Epithelial,Epithelial
16,Epithelial,Epithelial
5,Epithelial,Epithelial
30,Epithelial,Epithelial
28,Epithelial,Epithelial
14,Epithelial,Proliferative Epithelial
4,Epithelial,Proliferative Epithelial
31,Epithelial,Epithelial
13,Epithelial,Epithelial
23,Stroma,aSMA+ Stroma
15,Stroma,aSMA+ Stroma
8,Stroma,aSMA+ Stroma
25,Lymphoid,CD8+ T-cells
7,Lymphoid,CD8+ T-cells
