cluster,cell_type,cell_type_refined
20,Stroma,Stroma
18,Myeloid,Macrophages
9,Myeloid,CD163+ Macrophages
5,Myeloid,Macrophages
13,Endothelial,Endothelial
8,Endothelial,Endothelial
1,Stroma,aSMA+ Stroma
22,Lymphoid,B-cells
17,Lymphoid,Regulatory T-cells
6,Lymphoid,CD8+ T-cells
24,Myoepithelial,Myoepithelial
14,Epithelial,Basal Epithelial
2,Epithelial,Basal Epithelial
23,Epithelial,Proliferative Basal Epithelial
4,Epithelial,Epithelial
3,Epithelial,Epithelial
10,Epithelial,Epithelial
16,Epithelial,Epithelial
0,Epithelial,Proliferative Epithelial
11,Epithelial,Proliferative Basal Epithelial
15,Epithelial,Proliferative Epithelial
21,Epithelial,Basal Epithelial
7,Epithelial,Proliferative Epithelial
19,Epithelial,Epithelial
12,Epithelial,Epithelial
