,subject,frequency,panel,cell_type
0,0,606,Tumor,Epithelial
1,1,561,Tumor,Basal Epithelial
2,2,355,Tumor,Proliferative Epithelial
3,3,331,Tumor,Proliferative Basal Epithelial
4,4,328,Tumor,Basal Epithelial
5,5,299,Tumor,aSMA+ Stroma
6,6,210,Tumor,Endothelial
7,7,190,Tumor,Proliferative Basal Epithelial
8,8,169,Tumor,T-cells
9,9,138,Tumor,aSMA+ Stroma
10,10,132,Tumor,Endothelial
11,11,127,Tumor,Proliferative Basal Epithelial
12,12,118,Tumor,Proliferative Basal Epithelial
13,13,111,Tumor,Proliferative Epithelial
14,14,98,Tumor,aSMA+ Stroma
15,15,94,Tumor,Proliferative Basal Epithelial
16,16,94,Tumor,Endothelial
17,17,94,Tumor,Endothelial
18,18,91,Tumor,aSMA+ Stroma
19,19,87,Tumor,aSMA+ Stroma
20,20,80,Tumor,Proliferative Epithelial
21,21,73,Tumor,Endothelial
22,22,67,Tumor,aSMA+ Stroma
23,23,63,Tumor,T-cells
24,24,61,Tumor,Basal Epithelial
25,25,61,Tumor,Proliferative Epithelial
26,26,55,Tumor,Epithelial
27,27,52,Tumor,Proliferative Epithelial
28,28,48,Tumor,Proliferative Epithelial
29,29,48,Tumor,aSMA+ Stroma
30,30,47,Tumor,aSMA+ Stroma
31,31,44,Tumor,Proliferative Epithelial
32,32,43,Tumor,Epithelial
33,33,41,Tumor,T-cells
34,34,37,Tumor,Endothelial
35,35,36,Tumor,aSMA+ Stroma
36,36,34,Tumor,T-cells
37,37,32,Tumor,T-cells
38,38,31,Tumor,aSMA+ Stroma
39,39,28,Tumor,Epithelial
40,40,28,Tumor,Endothelial
41,41,27,Tumor,Endothelial
42,42,25,Tumor,T-cells
43,43,24,Tumor,Endothelial
44,44,23,Tumor,Basal Epithelial
45,45,22,Tumor,Endothelial
46,46,22,Tumor,Basal Epithelial
47,47,21,Tumor,Epithelial
48,48,21,Tumor,aSMA+ Stroma
49,49,21,Tumor,aSMA+ Stroma
50,50,21,Tumor,Proliferative Basal Epithelial
51,51,19,Tumor,Epithelial
52,52,19,Tumor,Basal Epithelial
53,53,18,Tumor,Epithelial
54,54,18,Tumor,aSMA+ Stroma
55,55,17,Tumor,T-cells
56,56,16,Tumor,aSMA+ Stroma
57,57,16,Tumor,Basal Epithelial
58,58,15,Tumor,Proliferative Epithelial
59,59,15,Tumor,Myoepithelial
60,60,15,Tumor,aSMA+ Stroma
61,61,15,Tumor,T-cells
62,62,15,Tumor,T-cells
63,63,14,Tumor,Basal Epithelial
64,64,13,Tumor,T-cells
65,65,12,Tumor,Endothelial
66,66,12,Tumor,Epithelial
67,67,11,Tumor,aSMA+ Stroma
68,68,11,Tumor,aSMA+ Stroma
69,69,11,Tumor,Proliferative Epithelial
70,70,10,Tumor,Proliferative Basal Epithelial
71,71,10,Tumor,T-cells
72,72,10,Tumor,Epithelial
73,73,9,Tumor,Endothelial
74,74,9,Tumor,Proliferative Epithelial
75,75,9,Tumor,Proliferative Epithelial
76,76,9,Tumor,Endothelial
77,77,8,Tumor,Proliferative Epithelial
78,78,7,Tumor,T-cells
79,79,7,Tumor,Basal Epithelial
80,80,7,Tumor,Endothelial
81,81,7,Tumor,Endothelial
82,82,7,Tumor,Endothelial
83,83,6,Tumor,Endothelial
84,84,6,Tumor,Endothelial
85,85,6,Tumor,Proliferative Epithelial
86,86,6,Tumor,aSMA+ Stroma
87,87,6,Tumor,Proliferative Epithelial
88,88,6,Tumor,Proliferative Epithelial
89,89,6,Tumor,aSMA+ Stroma
90,90,5,Tumor,Basal Epithelial
91,91,5,Tumor,T-cells
92,92,5,Tumor,T-cells
93,93,5,Tumor,Proliferative Epithelial
94,94,5,Tumor,Epithelial
95,95,5,Tumor,Basal Epithelial
96,96,5,Tumor,Endothelial
97,97,5,Tumor,aSMA+ Stroma
98,98,5,Tumor,Proliferative Basal Epithelial
99,99,5,Tumor,Basal Epithelial
100,100,4,Tumor,Endothelial
101,101,4,Tumor,Endothelial
102,102,4,Tumor,Proliferative Epithelial
103,103,4,Tumor,T-cells
104,104,4,Tumor,Endothelial
105,105,4,Tumor,T-cells
106,106,4,Tumor,aSMA+ Stroma
107,107,4,Tumor,aSMA+ Stroma
108,108,4,Tumor,Endothelial
109,109,4,Tumor,Endothelial
110,110,3,Tumor,aSMA+ Stroma
111,111,3,Tumor,Proliferative Epithelial
112,112,3,Tumor,T-cells
113,113,3,Tumor,T-cells
114,114,3,Tumor,T-cells
115,115,3,Tumor,Endothelial
116,116,3,Tumor,Basal Epithelial
117,117,3,Tumor,Endothelial
118,118,3,Tumor,aSMA+ Stroma
119,119,3,Tumor,Proliferative Basal Epithelial
120,120,3,Tumor,aSMA+ Stroma
121,121,3,Tumor,Basal Epithelial
122,122,3,Tumor,Proliferative Epithelial
123,123,3,Tumor,Proliferative Epithelial
124,124,3,Tumor,Epithelial
125,125,2,Tumor,T-cells
126,126,2,Tumor,aSMA+ Stroma
127,127,2,Tumor,Endothelial
128,128,2,Tumor,aSMA+ Stroma
129,129,2,Tumor,aSMA+ Stroma
130,130,2,Tumor,Basal Epithelial
131,131,2,Tumor,aSMA+ Stroma
132,132,2,Tumor,T-cells
133,133,2,Tumor,T-cells
134,134,2,Tumor,aSMA+ Stroma
135,135,2,Tumor,aSMA+ Stroma
136,136,2,Tumor,aSMA+ Stroma
137,137,2,Tumor,aSMA+ Stroma
138,138,2,Tumor,aSMA+ Stroma
139,139,2,Tumor,aSMA+ Stroma
140,140,2,Tumor,aSMA+ Stroma
141,141,2,Tumor,Endothelial
142,142,2,Tumor,T-cells
143,143,2,Tumor,Proliferative Basal Epithelial
144,144,2,Tumor,Proliferative Basal Epithelial
145,145,2,Tumor,Proliferative Epithelial
146,146,2,Tumor,Proliferative Epithelial
147,147,2,Tumor,Epithelial
148,148,2,Tumor,T-cells
149,149,2,Tumor,T-cells
150,150,2,Tumor,Proliferative Basal Epithelial
151,151,2,Tumor,T-cells
152,152,2,Tumor,Endothelial
153,153,2,Tumor,Proliferative Epithelial
154,154,1,Tumor,Basal Epithelial
155,155,1,Tumor,aSMA+ Stroma
156,156,1,Tumor,Epithelial
157,157,1,Tumor,Proliferative Epithelial
158,158,1,Tumor,Proliferative Epithelial
159,159,1,Tumor,Proliferative Epithelial
160,160,1,Tumor,Basal Epithelial
161,161,1,Tumor,Epithelial
162,162,1,Tumor,Epithelial
