,subject,frequency,panel,cell_type,label_origin
0,0,2972,Immune,Epithelial,Original
1,1,1289,Immune,Epithelial,Original
2,2,1059,Immune,Proliferative Epithelial,Original
3,3,884,Immune,Epithelial,Original
4,4,637,Immune,Macrophages,Original
5,5,619,Immune,aSMA+ Stroma,Original
6,6,616,Immune,CD8+ T-cells,Original
7,7,596,Immune,aSMA+ Stroma,Original
8,8,478,Immune,CD163+ Macrophages,Original
9,9,432,Immune,Epithelial,Original
10,10,315,Immune,Proliferative Epithelial,Original
11,11,257,Immune,Macrophages,Original
12,12,202,Immune,CD8+ T-cells,Original
13,13,196,Immune,CD4+ T-cells,Original
14,14,171,Immune,B-cells,Original
15,15,156,Immune,CD163+ Macrophages,Original
16,16,151,Immune,Macrophages,Original
17,17,134,Immune,Regulatory T-cells,Original
18,18,120,Immune,Macrophages,Original
19,19,117,Immune,aSMA+ Stroma,Original
20,20,75,Immune,Proliferative Epithelial,Original
21,21,71,Immune,Macrophages,Original
22,22,64,Immune,CD8+ T-cells,Original
23,23,52,Immune,Macrophages,Original
24,24,51,Immune,CD8+ T-cells,Original
25,25,39,Immune,aSMA+ Stroma,Original
26,26,39,Immune,CD8+ T-cells,Original
27,27,35,Immune,CD8+ T-cells,Original
28,28,34,Immune,CD163+ Macrophages,Original
29,29,32,Immune,B-cells,Original
30,30,28,Immune,B-cells,Original
31,31,26,Immune,Proliferative Epithelial,Original
32,32,22,Immune,CD8+ T-cells,Original
33,33,22,Immune,Macrophages,Original
34,34,20,Immune,Epithelial,Original
35,35,19,Immune,aSMA+ Stroma,Original
36,36,12,Immune,B-cells,Original
37,37,11,Immune,Regulatory T-cells,Original
38,38,10,Immune,Regulatory T-cells,Original
39,39,9,Immune,Regulatory T-cells,Original
40,40,9,Immune,CD4+ T-cells,Original
41,41,7,Immune,Epithelial,Original
42,42,6,Immune,Epithelial,Original
43,43,6,Immune,Regulatory T-cells,Original
44,44,6,Immune,CD4+ T-cells,Original
45,45,5,Immune,Regulatory T-cells,Original
46,46,5,Immune,aSMA+ Stroma,Original
47,47,5,Immune,Macrophages,Original
48,48,5,Immune,B-cells,Original
49,49,5,Immune,CD163+ Macrophages,Original
50,50,4,Immune,Regulatory T-cells,Original
51,51,4,Immune,aSMA+ Stroma,Original
52,52,4,Immune,Regulatory T-cells,Original
53,53,4,Immune,Regulatory T-cells,Original
54,54,3,Immune,CD8+ T-cells,Original
55,55,3,Immune,Proliferative Epithelial,Original
56,56,2,Immune,CD4+ T-cells,Original
57,57,2,Immune,CD4+ T-cells,Original
58,58,2,Immune,Epithelial,Original
59,59,2,Immune,B-cells,Original
60,60,2,Immune,B-cells,Original
61,61,2,Immune,Epithelial,Original
62,62,1,Immune,B-cells,Original
63,63,1,Immune,aSMA+ Stroma,Original
64,64,1,Immune,aSMA+ Stroma,Original
65,65,1,Immune,Macrophages,Original
66,66,1,Immune,CD4+ T-cells,Original
67,67,1,Immune,CD4+ T-cells,Original
68,68,1,Immune,Regulatory T-cells,Original
69,69,1,Immune,aSMA+ Stroma,Original
70,70,1,Immune,B-cells,Original
71,71,1,Immune,aSMA+ Stroma,Original
72,72,1,Immune,CD4+ T-cells,Original
73,0,2972,Immune,Epithelial,Propagated
74,1,1289,Immune,Basal Epithelial,Propagated
75,2,1059,Immune,Proliferative Epithelial,Propagated
76,3,884,Immune,Proliferative Epithelial,Propagated
77,4,637,Immune,Macrophages,Propagated
78,5,619,Immune,Endothelial,Propagated
79,6,616,Immune,CD8+ T-cells,Propagated
80,7,596,Immune,aSMA+ Stroma,Propagated
81,8,478,Immune,CD163+ Macrophages,Propagated
82,9,432,Immune,Proliferative Basal Epithelial,Propagated
83,10,315,Immune,Proliferative Basal Epithelial,Propagated
84,11,257,Immune,Endothelial,Propagated
85,12,202,Immune,Epithelial,Propagated
86,13,196,Immune,Regulatory T-cells,Propagated
87,14,171,Immune,B-cells,Propagated
88,15,156,Immune,Macrophages,Propagated
89,16,151,Immune,Stroma,Propagated
90,17,134,Immune,Regulatory T-cells,Propagated
91,18,120,Immune,Epithelial,Propagated
92,19,117,Immune,Macrophages,Propagated
93,20,75,Immune,Epithelial,Propagated
94,21,71,Immune,CD163+ Macrophages,Propagated
95,22,64,Immune,CD163+ Macrophages,Propagated
96,23,52,Immune,aSMA+ Stroma,Propagated
97,24,51,Immune,Endothelial,Propagated
98,25,39,Immune,Myoepithelial,Propagated
99,26,39,Immune,Macrophages,Propagated
100,27,35,Immune,aSMA+ Stroma,Propagated
101,28,34,Immune,Endothelial,Propagated
102,29,32,Immune,Endothelial,Propagated
103,30,28,Immune,CD163+ Macrophages,Propagated
104,31,26,Immune,Basal Epithelial,Propagated
105,32,22,Immune,Regulatory T-cells,Propagated
106,33,22,Immune,Proliferative Epithelial,Propagated
107,34,20,Immune,Macrophages,Propagated
108,35,19,Immune,CD163+ Macrophages,Propagated
109,36,12,Immune,CD8+ T-cells,Propagated
110,37,11,Immune,CD8+ T-cells,Propagated
111,38,10,Immune,CD163+ Macrophages,Propagated
112,39,9,Immune,Epithelial,Propagated
113,40,9,Immune,Endothelial,Propagated
114,41,7,Immune,aSMA+ Stroma,Propagated
115,42,6,Immune,Endothelial,Propagated
116,43,6,Immune,Macrophages,Propagated
117,44,6,Immune,aSMA+ Stroma,Propagated
118,45,5,Immune,Endothelial,Propagated
119,46,5,Immune,Epithelial,Propagated
120,47,5,Immune,Regulatory T-cells,Propagated
121,48,5,Immune,Regulatory T-cells,Propagated
122,49,5,Immune,Regulatory T-cells,Propagated
123,50,4,Immune,Stroma,Propagated
124,51,4,Immune,Regulatory T-cells,Propagated
