,CellID,DNA_1,AF488,AF555,AF647,DNA_2,Control_488,Control_555,Control_647,DNA_3,CD3,PDL1,GRZB,DNA_4,Ki67,PanCK,CD45,DNA_5,CD68,CD3d,CD8a,DNA_6,CD163,aSMA,CD14,DNA_7,CD4,FOXP3,PDL1_2,DNA_8,CD11b,pRB,PD1,DNA_9,LaminABC,PDL1_3,LAG3,DNA_10,CD20,HLA_A,MHC_II_DPB1,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,x,y
0,7,11605.416666666666,773.5166666666667,126.81666666666666,459.4041666666666,6338.0875,1319.9875,177.5625,643.8666666666667,15301.379166666668,1548.4083333333333,486.15833333333336,966.5916666666668,9195.141666666666,7582.0625,31728.066666666666,884.0666666666667,5623.429166666667,1018.025,861.3541666666666,1792.4333333333334,2264.520833333333,1356.3041666666666,90.3,4695.916666666667,256.0708333333333,1091.65,115.17083333333332,1147.2041666666669,118.42083333333332,1023.4583333333334,420.59583333333336,1210.2125,104.8875,642.1541666666667,232.2458333333333,543.7875,84.74166666666666,1137.1666666666667,93.09583333333332,514.8166666666667,1547.7625,232.50833333333333,240,18.16513383942165,16.919149943721184,0.363976982395681,0.9448818897637796,0.7430340557275542,-1.2579277415636765,232.71428571428572,1548.7785714285715
1,8,7980.808801213961,847.7207890743551,138.69954476479515,454.1942336874052,4980.921092564492,1479.4415781487105,215.20333839150229,750.1972685887708,8784.546282245827,1861.951441578149,552.4901365705615,961.619119878604,5125.232169954476,1728.5553869499242,44268.62367223065,898.8770864946889,2829.382397572079,960.6813353566008,787.0971168437026,2379.5599393019725,567.3444613050076,1279.887708649469,66.65402124430956,4391.453717754173,207.40971168437025,916.9863429438544,114.00606980273142,1139.6115326251895,90.69195751138088,1028.763277693475,424.41122913505313,1202.5963581183612,92.54931714719272,604.2078907435508,235.89833080424887,488.0773899848255,68.61153262518968,1171.813353566009,88.49317147192716,511.9226100151745,1493.4264036418815,235.3899848254932,659,31.367243336199945,27.839300546740333,0.4607541642765382,0.8869448183041723,0.6441837732160313,-1.5415361295012304,236.33018867924528,1493.9198113207547
2,9,5581.963636363636,841.5090909090909,147.4121212121212,456.7787878787879,4114.996969696969,1467.9,224.35151515151517,767.560606060606,5665.278787878788,1947.9454545454544,576.4636363636364,995.1363636363636,3597.0030303030303,1321.4969696969697,55613.67878787879,913.0848484848484,2801.4121212121213,1014.3424242424244,913.4363636363636,2323.7181818181816,152.88484848484848,1057.7454545454543,49.71212121212121,1808.2484848484848,207.96666666666667,1265.0181818181818,109.11515151515152,1137.1515151515152,110.28181818181818,1025.5727272727272,424.2969696969697,1206.1575757575758,107.63333333333334,622.5545454545454,237.34242424242424,527.1818181818181,85.43030303030304,1148.7515151515152,86.7939393939394,506.3454545454546,1584.6272727272728,235.2212121212121,330,21.513856147991216,19.654971988144457,0.4066232015571473,0.9620991253644317,0.8270676691729323,-0.4258489733655523,238.8181818181818,1581.974025974026
3,10,16311.881235154397,850.8598574821852,141.2874109263658,454.0641330166271,9044.064133016627,1667.104513064133,236.7410926365796,849.083135391924,17393.496437054633,1711.0285035629454,556.0498812351544,1052.9667458432305,9049.653206650832,3628.38242280285,45269.56294536817,891.5771971496437,4475.220902612827,995.833729216152,888.5035629453681,1935.9548693586696,346.1520190023753,1191.0475059382422,60.63420427553445,3528.356294536817,220.08788598574824,1398.9311163895486,120.48693586698336,1143.7553444180523,106.562945368171,1028.935866983373,418.5225653206651,1215.002375296912,102.00237529691212,635.1543942992874,232.7957244655582,525.8076009501187,85.90973871733966,1140.6152019002377,88.34916864608076,499.498812351544,1565.1306413301663,239.4940617577197,421,25.145227029913677,21.627920826474345,0.5100911955726916,0.941834451901566,0.7626811594202898,-0.5702883148666605,238.1511111111111,1564.2666666666667
4,12,12869.351585014409,808.1556195965418,130.53890489913545,457.9077809798271,6848.959654178674,1384.4726224783865,197.22478386167148,729.0634005763688,12575.50432276657,1504.9510086455332,506.178674351585,954.9740634005764,5871.812680115274,1737.487031700288,33875.69452449568,878.5821325648415,2627.484149855908,922.0951008645532,749.5331412103747,1444.8501440922191,199.12391930835736,1066.9020172910664,52.5792507204611,1764.6455331412103,216.94236311239197,887.0951008645533,113.69452449567724,1144.2478386167147,111.52161383285302,1027.005763688761,433.28818443804033,1214.270893371758,100.0749279538905,616.4236311239193,238.314121037464,491.79827089337175,79.09510086455332,1174.1095100864554,94.85590778097983,511.0951008645533,1522.4351585014408,242.0893371757925,347,26.15895093247493,16.94196468659517,0.7619340718161313,0.9532967032967034,0.7024291497975709,1.1752263315195122,241.7439024390244,1521.121951219512
5,13,12493.637931034482,902.0603448275862,149.2219827586207,454.2349137931034,6469.752155172414,1687.8405172413793,242.0344827586207,952.3943965517242,6188.1875,1406.8663793103449,431.1788793103448,961.8900862068964,1072.5560344827586,954.771551724138,27588.782327586207,843.885775862069,231.56896551724137,720.4547413793103,405.1206896551725,914.5689655172414,143.9956896551724,1076.353448275862,50.372844827586206,1651.1918103448277,216.06465517241375,698.1206896551724,115.01939655172414,1137.6314655172414,79.35560344827586,1002.5625,410.3362068965517,1184.0603448275865,89.34698275862068,563.1422413793103,234.5409482758621,467.8168103448276,69.92025862068965,1127.3168103448277,84.00431034482759,486.17456896551727,1328.3146551724135,246.2629310344828,464,33.024422918634265,18.599425273346316,0.8263191651467664,0.8923076923076924,0.6823529411764706,-0.1848881135423426,241.59448818897638,1329.3818897637796
6,14,12485.64576802508,816.8150470219435,127.56739811912226,451.858934169279,6148.708463949844,1323.912225705329,178.60815047021944,704.858934169279,1382.909090909091,880.5673981191222,235.8871473354232,833.3291536050157,346.1755485893417,783.6426332288402,6212.313479623825,798.5673981191222,223.16614420062692,726.3636363636364,439.30407523510974,907.025078369906,134.6269592476489,1093.630094043887,53.50470219435736,1621.614420062696,208.10031347962385,627.448275862069,111.82131661442006,1141.7084639498432,65.47335423197492,1010.3949843260187,418.435736677116,1196.3887147335424,79.65203761755485,556.7993730407524,233.22884012539183,499.4514106583072,62.26645768025078,1110.2507836990596,85.97805642633229,490.30094043887146,1360.4263322884012,245.63322884012535,319,28.4939688927092,14.379932829490992,0.8633147670379265,0.9437869822485208,0.7384259259259259,0.3179778466935987,244.8186274509804,1361.1470588235295
7,15,14645.477401129943,955.1016949152544,159.3177966101695,457.638418079096,8234.920903954802,1742.1242937853108,247.7725988700565,870.2782485875706,15926.180790960452,1951.6949152542368,555.8149717514125,1022.9392655367232,7842.70197740113,13043.74858757062,31995.23305084746,902.8771186440678,3375.15395480226,1027.0169491525423,819.1031073446328,1776.6341807909605,285.5819209039548,1132.09604519774,55.07485875706215,2528.927966101695,220.03813559322035,805.4435028248588,109.89406779661016,1142.8276836158193,81.9138418079096,1004.5776836158192,413.4011299435029,1199.2542372881355,89.86440677966101,548.5720338983051,236.7584745762712,439.2542372881356,71.5635593220339,1119.0254237288136,86.48870056497175,488.6723163841808,1290.9632768361582,249.8573446327684,708,32.074594176774255,28.27953286644574,0.4718475608832428,0.9580514208389715,0.7875417130144605,1.436964868600386,251.09669811320754,1291.1108490566037
8,16,12674.372093023256,800.8604651162791,137.83899821109122,459.8067978533095,6848.336314847943,1445.1252236135956,204.94812164579608,725.5491949910554,13559.989266547404,1710.220035778175,530.3953488372093,993.567084078712,7516.497316636852,5180.6261180679785,43438.27549194991,897.649373881932,4200.550983899821,977.953488372093,856.7674418604652,1635.1252236135956,1262.1180679785332,1397.3828264758497,87.06976744186046,5227.932021466905,203.69230769230768,1171.7406082289804,116.05724508050088,1144.0500894454383,112.695885509839,1019.1788908765652,427.24508050089446,1212.8998211091234,104.84973166368516,612.8389982110913,238.701252236136,491.309481216458,85.74776386404294,1184.706618962433,88.3881932021467,515.1413237924866,1635.1627906976744,250.7871198568873,559,34.79453990218116,20.872160033534357,0.8000983587168292,0.9270315091210614,0.6775757575757576,-1.1875939252901375,252.13513513513513,1632.7094594594594
9,17,3448.6716417910447,718.4328358208955,111.46268656716418,450.0970149253731,2219.2985074626868,1083.9402985074628,158.5,579.7537313432836,2483.253731343284,1055.3059701492537,372.94776119402985,907.1119402985074,932.820895522388,866.6865671641791,23535.44776119403,832.3880597014926,695.776119402985,791.8880597014926,529.544776119403,1006.7388059701492,159.69402985074626,1053.2835820895525,53.440298507462686,1750.589552238806,218.8059701492537,1172.44776119403,108.29850746268656,1138.320895522388,107.93283582089552,1018.5522388059702,414.94776119402985,1204.1567164179105,99.4179104477612,559.9402985074627,227.455223880597,412.17910447761193,79.95522388059702,1103.2164179104475,89.7910447761194,489.6044776119403,1151.3880597014925,255.59701492537317,134,14.842446601278448,11.580024487284678,0.6255345423712136,0.943661971830986,0.7976190476190477,-1.2033253825705383,254.0392156862745,1151.862745098039
